link部分,link命名,质量,质心x,质心y,质心z,惯量ixx,惯量ixy,惯量ixz,惯量iyy,惯量iyz,惯量izz,,,,,,,,
下半身,pelvis,10.354225,0.00154,-0.000342,-0.017364,0.083241,0.000253,-0.002087,0.069152,-0.000034,0.066147,,,,,,,,
左腿,hip_pitch_l_link,2.218526,0.011303,0.069296,-0.023929,0.004335,-0.000177,0.000121,0.003066,0.000221,0.003283,,,,,,,,
,hip_roll_l_link,0.571382,-0.001672,0.000054,-0.038778,0.00111,0,0.000045,0.001799,-0.000001,0.001523,,,,,,,,
,hip_yaw_l_link,5.387408,0.001388,-0.012669,-0.12347,0.038511,-0.00028,-0.000303,0.038924,-0.00126,0.010655,,,,,,,,
,knee_pitch_l_link,3.033876,0.021051,0.000536,-0.153842,0.035714,-0.000077,-0.002244,0.036205,-0.000771,0.003654,,,,,,,,
,ankle_pitch_l_link,0.150803,0,0,0,0.000025,0,0,0.000034,0,0.000052,,,,,,,,
,ankle_roll_l_link,0.792528,0.03211,0,-0.035285,0.000643,0,0.000107,0.004347,0,0.004697,,,,,,,,
右腿,hip_pitch_r_link,2.218526,0.011303,-0.069296,-0.023929,0.004335,0.000177,0.000121,0.003066,-0.000221,0.003283,,,,,,,,
,hip_roll_r_link,0.571382,-0.001672,-0.000054,-0.038778,0.00111,0,0.000045,0.001799,0.000001,0.001523,,,,,,,,
,hip_yaw_r_link,5.387408,0.001388,0.012669,-0.12347,0.038511,0.00028,-0.000303,0.038924,0.00126,0.010655,,,,,,,,
,knee_pitch_r_link,3.033876,0.021051,-0.000536,-0.153842,0.035714,0.000077,-0.002244,0.036205,0.000771,0.003654,,,,,,,,
,ankle_pitch_r_link,0.150803,0,0,0,0.000025,0,0,0.000034,0,0.000052,,,,,,,,
,ankle_roll_r_link,0.792528,0.03211,0,-0.035285,0.000643,0,0.000107,0.004347,0,0.004697,,,,,,,,
腰,waist_yaw_link,1.619678,-0.001006,-0.000226,-0.068788,0.001887,-0.000013,0.000117,0.002064,0.000022,0.001093,,,,,,,,
,waist_roll_link,3.315021,-0.006026,-0.004145,0.071802,0.013307,0.000605,0.000091,0.006685,0.000043,0.014096,,,,,,,,
,waist_pitch_link,10.32379,-0.000538,0.000614,0.188819,0.19644,0.000118,0.002999,0.161537,0.000194,0.096682,,,,,,,,
头部,head_yaw_link,0.182101,0.027125,0.000069,0.002577,0.00027,0,-0.000027,0.000348,0,0.000595,,,,,,,,
左臂,shoulder_pitch_l_link,0.909618,0.004159,0.068507,0.000023,0.001218,-0.00002,0,0.000731,0.000003,0.000973,,,,,,,,
,shoulder_roll_l_link,0.291432,0.002685,-0.000002,-0.048205,0.000897,0,-0.000014,0.001004,0,0.000519,,,,,,,,
,shoulder_yaw_l_link,1.453126,0.011778,0.002807,-0.095219,0.005642,-0.000034,0.000793,0.006039,0.000184,0.001316,,,,,,,,
,elbow_pitch_l_link,0.684992,-0.016886,0.000922,-0.069512,0.001476,-0.000008,-0.00015,0.00138,-0.000036,0.000724,,,,,,,,
,elbow_yaw_l_link,0.150855,0.000002,0.003301,-0.047544,0.000293,0,0,0.000229,0.000012,0.000168,,,,,,,,
